beaker,treatment,ocular_distance_mm,length_mm
1,rotenone,0.036,1.5
1,rotenone,0.043,1.515
1,rotenone,0.077,1.513
1,rotenone,0.057,1.501
1,rotenone,0.053,1.483
1,rotenone,0.04,1.488
1,rotenone,0.028,1.752
1,rotenone,0.049,1.848
1,rotenone,0.036,1.72
1,rotenone,0.058,1.806
1,rotenone,0.008,2.08
1,rotenone,0.049,1.776
1,rotenone,0.049,0.576
1,rotenone,0.126,3.753
1,rotenone,0.105,3.919
1,rotenone,0.124,3.677
1,rotenone,0.11,3.576
1,rotenone,0.12,3.19
1,rotenone,0.068,3.767
1,rotenone,0.066,3.589
1,rotenone,0.053,3.6
1,rotenone,0.099,3.718
1,rotenone,0.081,3.486
1,rotenone,0.101,3.608
1,rotenone,0.085,3.019
1,rotenone,0.118,4.08
1,rotenone,0.061,3.587
1,rotenone,0.068,3.832
1,rotenone,0.097,3.554
1,rotenone,0.055,3.171
1,rotenone,0.088,3.771
1,rotenone,0.099,3.859
1,rotenone,0.063,3.468
1,rotenone,0.112,3.588
1,rotenone,0.122,3.592
2,rotenone,0.059,1.652
2,rotenone,0.022,1.478
2,rotenone,0.042,1.848
2,rotenone,0.054,1.657
2,rotenone,0.058,1.872
2,rotenone,0.028,1.573
2,rotenone,0.034,1.407
2,rotenone,0.036,1.794
2,rotenone,0.058,1.738
2,rotenone,0.051,1.937
2,rotenone,0.057,1.861
2,rotenone,0.035,1.76
2,rotenone,0.027,0.557
2,rotenone,0.057,1.643
2,rotenone,0.075,3.519
2,rotenone,0.108,3.815
2,rotenone,0.102,3.535
2,rotenone,0.078,3.408
2,rotenone,0.06,3.687
2,rotenone,0.129,3.839
2,rotenone,0.063,3.406
2,rotenone,0.075,3.756
2,rotenone,0.078,3.596
2,rotenone,0.085,3.443
2,rotenone,0.057,3.264
2,rotenone,0.031,3.384
2,rotenone,0.09,3.849
2,rotenone,0.126,3.477
2,rotenone,0.12,3.643
2,rotenone,0.072,3.267
2,rotenone,0.084,3.421
2,rotenone,0.112,3.223
2,rotenone,0.085,3.681
2,rotenone,0.05,3.253
2,rotenone,0.101,3.677
2,rotenone,0.049,3.591
2,rotenone,0.096,3.728
3,rotenone,0.036,1.544
3,rotenone,0.069,1.839
3,rotenone,0.043,1.626
3,rotenone,0.024,1.749
3,rotenone,0.031,1.762
3,rotenone,0.054,1.901
3,rotenone,0.043,1.684
3,rotenone,0.056,1.878
3,rotenone,0.059,1.829
3,rotenone,0.037,1.751
3,rotenone,0.055,1.472
3,rotenone,0.013,1.683
3,rotenone,0.006,1.714
3,rotenone,0.053,1.814
3,rotenone,0.126,1.628
3,rotenone,0.088,3.344
3,rotenone,0.169,3.639
3,rotenone,0.185,3.549
3,rotenone,0.111,3.773
3,rotenone,0.054,3.825
3,rotenone,0.12,3.617
3,rotenone,0.137,3.595
3,rotenone,0.079,3.888
3,rotenone,0.106,3.065
3,rotenone,0.11,3.835
3,rotenone,0.088,3.353
3,rotenone,0.081,3.541
3,rotenone,0.057,3.213
3,rotenone,0.096,3.833
3,rotenone,0.098,3.669
3,rotenone,0.123,3.622
3,rotenone,0.101,3.021
3,rotenone,0.088,3.488
3,rotenone,0.11,3.25
3,rotenone,0.094,3.524
3,rotenone,0.076,3.476
3,rotenone,0.064,2.838
3,rotenone,0.089,3.463
3,rotenone,NA,3.272
4,rotenone,0.076,1.731
4,rotenone,0.028,1.519
4,rotenone,0.072,1.654
4,rotenone,0.037,1.485
4,rotenone,0.023,1.504
4,rotenone,0.021,1.591
4,rotenone,0.042,1.594
4,rotenone,0.008,1.575
4,rotenone,0.044,1.504
4,rotenone,0.054,1.696
4,rotenone,0.016,1.638
4,rotenone,0.112,1.558
4,rotenone,0.052,1.519
4,rotenone,0.077,1.637
4,rotenone,0.052,3.472
4,rotenone,0.103,3.426
4,rotenone,0.163,3.365
4,rotenone,0.098,3.424
4,rotenone,0.11,2.89
4,rotenone,0.09,3.255
4,rotenone,0.125,3.48
4,rotenone,0.09,3.54
4,rotenone,0.105,3.316
4,rotenone,0.108,3.634
4,rotenone,0.169,2.912
4,rotenone,0.076,3.765
4,rotenone,0.084,3.402
4,rotenone,0.11,2.985
4,rotenone,0.123,3.308
4,rotenone,0.118,3.953
4,rotenone,NA,3.864
4,rotenone,NA,3.805
4,rotenone,NA,3.552
5,rotenone,0.051,1.724
5,rotenone,0.022,1.296
5,rotenone,0.043,1.857
5,rotenone,0.037,1.724
5,rotenone,0.032,1.756
5,rotenone,0.055,1.729
5,rotenone,0.048,1.356
5,rotenone,0.025,1.71
5,rotenone,0.032,1.508
5,rotenone,0.023,1.64
5,rotenone,0.016,1.365
5,rotenone,0.036,1.437
5,rotenone,0.023,1.547
5,rotenone,0.109,1.43
5,rotenone,0.12,4.238
5,rotenone,0.098,4.062
5,rotenone,0.1,3.983
5,rotenone,0.111,3.86
5,rotenone,0.115,3.69
5,rotenone,0.106,3.707
5,rotenone,0.075,3.038
5,rotenone,0.121,3.474
5,rotenone,0.089,3.249
5,rotenone,0.127,3.571
5,rotenone,0.116,3.33
5,rotenone,0.071,3.382
5,rotenone,0.044,3.642
5,rotenone,0.128,3.419
5,rotenone,0.164,3.514
5,rotenone,0.077,3.471
5,rotenone,0.086,3.411
5,rotenone,NA,3.604
6,rotenone,0.061,1.078
6,rotenone,0.062,1.559
6,rotenone,0.062,1.86
6,rotenone,0.032,1.451
6,rotenone,0.041,1.427
6,rotenone,0.02,1.631
6,rotenone,0.016,1.45
6,rotenone,0.066,1.585
6,rotenone,0.03,1.458
6,rotenone,0.039,1.507
6,rotenone,0.019,1.545
6,rotenone,0.054,1.545
6,rotenone,0.011,1.048
6,rotenone,0.292,0.6
6,rotenone,0.047,3.796
6,rotenone,0.05,3.612
6,rotenone,0.008,3.777
6,rotenone,0.047,3.975
6,rotenone,0.03,3.729
6,rotenone,0.039,3.657
6,rotenone,0.134,3.417
6,rotenone,0.058,3.208
6,rotenone,0.105,3.392
6,rotenone,0.096,3.638
6,rotenone,0.135,3.013
6,rotenone,0.108,3.217
6,rotenone,0.088,3.567
6,rotenone,0.11,3.552
6,rotenone,0.046,3.406
6,rotenone,0.165,3.622
6,rotenone,0.07,3.55
6,rotenone,0.098,3.579
1,paraquat,0.042,1.513
1,paraquat,0.028,1.384
1,paraquat,0.023,1.33
1,paraquat,0.051,1.569
1,paraquat,0.02,1.604
1,paraquat,0.036,1.571
1,paraquat,0.03,1.142
1,paraquat,0.025,1.624
2,paraquat,0.024,0.467
2,paraquat,0.018,0.468
2,paraquat,0.047,0.541
2,paraquat,0.063,1.691
2,paraquat,0.058,1.495
2,paraquat,0.07,1.551
2,paraquat,0.065,1.467
2,paraquat,0.047,1.532
3,paraquat,0.057,1.076
3,paraquat,0.043,1.598
3,paraquat,0.063,1.424
3,paraquat,0.059,NA
3,paraquat,0.061,1.464
3,paraquat,0.057,1.683
3,paraquat,0.061,1.238
3,paraquat,0.064,1.043
4,paraquat,0.038,1.725
4,paraquat,0.016,1.576
4,paraquat,0.054,NA
4,paraquat,0.045,1.611
4,paraquat,0.058,1.666
4,paraquat,0.04,1.599
4,paraquat,0.038,1.682
5,paraquat,0.051,1.654
5,paraquat,0.046,1.544
5,paraquat,0.035,1.641
5,paraquat,0.045,1.787
5,paraquat,0.07,1.497
5,paraquat,0.049,1.042
6,paraquat,0.061,1.634
1,rotenone_paraquat,0.057,0.593
1,rotenone_paraquat,0.009,1.726
1,rotenone_paraquat,0.049,1.54
1,rotenone_paraquat,0.065,0.645
1,rotenone_paraquat,0.054,1.639
1,rotenone_paraquat,NA,1.905
1,rotenone_paraquat,NA,1.733
2,rotenone_paraquat,0.034,1.683
2,rotenone_paraquat,0.013,0.453
2,rotenone_paraquat,0.032,1.629
2,rotenone_paraquat,0.057,1.704
2,rotenone_paraquat,0.059,1.912
2,rotenone_paraquat,0.024,1.743
2,rotenone_paraquat,NA,1.418
2,rotenone_paraquat,NA,1.56
3,rotenone_paraquat,0.01,1.642
3,rotenone_paraquat,0.039,1.767
3,rotenone_paraquat,0.06,1.627
3,rotenone_paraquat,0.053,1.659
3,rotenone_paraquat,NA,1.699
3,rotenone_paraquat,NA,1.803
3,rotenone_paraquat,NA,1.467
3,rotenone_paraquat,NA,1.71
4,rotenone_paraquat,0.031,1.832
4,rotenone_paraquat,0.056,1.32
4,rotenone_paraquat,0.047,1.818
4,rotenone_paraquat,0.037,0.613
4,rotenone_paraquat,NA,1.54
4,rotenone_paraquat,NA,1.723
4,rotenone_paraquat,NA,1.733
4,rotenone_paraquat,NA,1.472
5,rotenone_paraquat,0.024,1.572
5,rotenone_paraquat,0.02,2.046
5,rotenone_paraquat,0.042,1.632
5,rotenone_paraquat,0.047,2.05
5,rotenone_paraquat,0.021,1.691
5,rotenone_paraquat,NA,0.755
5,rotenone_paraquat,NA,1.636
6,rotenone_paraquat,0.02,1.659
6,rotenone_paraquat,0.018,1.406
6,rotenone_paraquat,0.024,1.561
6,rotenone_paraquat,0.016,1.236
6,rotenone_paraquat,0.0195,NA
